,CO1-17ABOK-00068_C4-4CR_20240802_105956,CO1-17ABOK-00068_C4-4CR_20240802_111223
1,0.553,0.506
2,0.553,0.506
3,0.553,0.506
4,0.553,0.506
5,0.553,0.506
6,0.553,0.506
7,0.553,0.506
8,0.553,0.506
9,0.553,0.506
10,0.553,0.506
11,0.553,0.506
12,0.553,0.506
13,0.553,0.506
14,0.553,0.506
15,0.553,0.506
16,0.553,0.506
17,0.553,0.506
18,0.553,0.506
19,0.553,0.506
20,0.553,0.506
21,0.553,0.506
22,0.553,0.506
23,0.553,0.506
24,0.553,0.506
25,0.553,0.506
26,0.553,0.506
27,0.553,0.506
28,0.553,0.506
29,0.553,0.506
30,0.553,0.506
31,0.553,0.506
32,0.553,0.506
33,0.553,0.506
34,0.553,0.506
35,0.553,0.506
36,0.553,0.506
37,0.553,0.506
38,0.553,0.506
39,0.553,0.506
40,0.553,0.506
41,0.553,0.506
42,0.553,0.506
43,0.553,0.506
44,0.553,0.506
45,0.553,0.506
46,0.553,0.506
47,0.553,0.506
48,0.553,0.506
49,0.553,0.506
50,0.553,0.506
